Date,Symbol,Close,Prediction
28-09-2020,RELIANCE,2216.25,1591.792393
29-09-2020,RELIANCE,2245.05,1457.004241
30-09-2020,RELIANCE,2234.35,1573.176688
01-10-2020,RELIANCE,2225.25,1611.334103
05-10-2020,RELIANCE,2212.2,3026.627694
06-10-2020,RELIANCE,2210.35,2088.227628
07-10-2020,RELIANCE,2257.5,2968.065854
08-10-2020,RELIANCE,2239.25,2042.041931
09-10-2020,RELIANCE,2233.45,2284.920104
12-10-2020,RELIANCE,2237.05,1984.28175
13-10-2020,RELIANCE,2280.7,1896.703648
14-10-2020,RELIANCE,2287.5,1842.840366
15-10-2020,RELIANCE,2206.5,1990.060641
16-10-2020,RELIANCE,2175.8,2444.675319
19-10-2020,RELIANCE,2176.2,2191.133254
20-10-2020,RELIANCE,2155.9,1939.290186
21-10-2020,RELIANCE,2124.6,2113.759479
22-10-2020,RELIANCE,2106.95,2109.336778
23-10-2020,RELIANCE,2113.05,1835.618524
26-10-2020,RELIANCE,2029.1,1795.338471
27-10-2020,RELIANCE,2034.5,1733.505582
28-10-2020,RELIANCE,2011.45,1777.980664
29-10-2020,RELIANCE,2026.9,1850.719389
30-10-2020,RELIANCE,2054.5,1844.235626
02-11-2020,RELIANCE,1877.45,1714.986206
03-11-2020,RELIANCE,1850.4,1849.102553
04-11-2020,RELIANCE,1913.2,1836.626501
05-11-2020,RELIANCE,1955,1807.884286
06-11-2020,RELIANCE,2029.15,1717.885722
09-11-2020,RELIANCE,2050.7,1908.678729
10-11-2020,RELIANCE,2084.55,2105.299858
11-11-2020,RELIANCE,1997.2,2083.72315
12-11-2020,RELIANCE,1980,1966.180571
13-11-2020,RELIANCE,1996.4,1976.959338
14-11-2020,RELIANCE,2002.3,2851.328098
17-11-2020,RELIANCE,1993.25,2161.849527
18-11-2020,RELIANCE,1987.2,2008.396438
19-11-2020,RELIANCE,1973.15,1916.176044
20-11-2020,RELIANCE,1899.5,1838.542506
23-11-2020,RELIANCE,1950.7,1902.309477
24-11-2020,RELIANCE,1964.05,1928.554186
25-11-2020,RELIANCE,1947.8,2187.807659
26-11-2020,RELIANCE,1952.6,2023.139895
27-11-2020,RELIANCE,1929.8,1895.43986
01-12-2020,RELIANCE,1954.9,2481.625393
02-12-2020,RELIANCE,1958.15,3325.142933
03-12-2020,RELIANCE,1964.05,2354.186603
04-12-2020,RELIANCE,1946.75,2261.037589
07-12-2020,RELIANCE,1958.2,2446.205314
08-12-2020,RELIANCE,1993.75,2464.213245
09-12-2020,RELIANCE,2026.95,3290.698503
10-12-2020,RELIANCE,2007,2800.512482
11-12-2020,RELIANCE,2005.8,2504.178438
14-12-2020,RELIANCE,1991.3,2675.388398
15-12-2020,RELIANCE,1974.35,2288.554785
16-12-2020,RELIANCE,1976.55,2941.509732
17-12-2020,RELIANCE,1985.6,2709.807615
18-12-2020,RELIANCE,1991.55,2403.796051
21-12-2020,RELIANCE,1939.7,2372.833354
22-12-2020,RELIANCE,1936.7,2164.478809
23-12-2020,RELIANCE,1943.85,2093.772985
24-12-2020,RELIANCE,1994.15,2191.815202
28-12-2020,RELIANCE,2003.3,2048.923513
29-12-2020,RELIANCE,1990.05,2072.624766
30-12-2020,RELIANCE,1995.5,2173.552088
31-12-2020,RELIANCE,1985.3,2000.126562
01-01-2021,RELIANCE,1987.5,2535.99819
04-01-2021,RELIANCE,1990.85,2525.599371
05-01-2021,RELIANCE,1966.1,2240.646576
06-01-2021,RELIANCE,1914.25,2123.988769
07-01-2021,RELIANCE,1911.15,2010.171662
08-01-2021,RELIANCE,1933.7,2108.963949
11-01-2021,RELIANCE,1897.25,2495.732823
12-01-2021,RELIANCE,1957.05,3645.217158
13-01-2021,RELIANCE,1938.8,2652.260621
14-01-2021,RELIANCE,1960.6,2450.850951
15-01-2021,RELIANCE,1937.45,2253.476636
18-01-2021,RELIANCE,1983.95,2317.441371
19-01-2021,RELIANCE,2016.4,2291.146108
20-01-2021,RELIANCE,2054.7,2275.803124
21-01-2021,RELIANCE,2099.4,2389.940521
22-01-2021,RELIANCE,2049.6,2194.684778
25-01-2021,RELIANCE,1941,1987.261318
27-01-2021,RELIANCE,1895,1990.373058
28-01-2021,RELIANCE,1876.55,2310.345788
29-01-2021,RELIANCE,1841.95,3278.56609
01-02-2021,RELIANCE,1895.3,2090.682045
02-02-2021,RELIANCE,1925.8,2164.708803
03-02-2021,RELIANCE,1930.65,2066.735867
04-02-2021,RELIANCE,1924.3,2146.341343
05-02-2021,RELIANCE,1923.75,2128.007735
08-02-2021,RELIANCE,1951.45,2051.846782
09-02-2021,RELIANCE,1956.15,2046.519866
10-02-2021,RELIANCE,1974.3,1961.942483
11-02-2021,RELIANCE,2055.7,2040.886041
12-02-2021,RELIANCE,2041.6,2021.198013
15-02-2021,RELIANCE,2032.6,1945.873903
16-02-2021,RELIANCE,2059.5,2334.423605
17-02-2021,RELIANCE,2083.25,1987.921941
18-02-2021,RELIANCE,2067.7,1958.466561
19-02-2021,RELIANCE,2080.3,1914.770124
22-02-2021,RELIANCE,2008.1,1961.096186
23-02-2021,RELIANCE,2023.45,1962.50244
24-02-2021,RELIANCE,2061,2063.871869
25-02-2021,RELIANCE,2144.35,1920.226073
26-02-2021,RELIANCE,2085.8,2069.211357
01-03-2021,RELIANCE,2101.7,2057.027792
02-03-2021,RELIANCE,2106,2050.745748
03-03-2021,RELIANCE,2202.1,1970.615035
04-03-2021,RELIANCE,2175.85,1985.798365
05-03-2021,RELIANCE,2178.7,2034.586658
08-03-2021,RELIANCE,2191.1,2451.755921
09-03-2021,RELIANCE,2191.05,2019.867613
10-03-2021,RELIANCE,2181.95,2365.840413
12-03-2021,RELIANCE,2137.6,2079.787847
15-03-2021,RELIANCE,2108.9,2126.025206
16-03-2021,RELIANCE,2100.6,1706.330193
17-03-2021,RELIANCE,2055.35,2136.639122
18-03-2021,RELIANCE,2009.1,1963.893932
19-03-2021,RELIANCE,2082,1929.6686
